row,item_num,location,media-id,guest-media-id,date,img/vid
row-100,4,Epcot,762961636,1201323983,2021-10-15 16:18:14+00:00,img
row-101,1,Epcot,762961631,1201323982,2021-10-15 16:18:13+00:00,img
row-101,2,Epcot,762961641,1201323981,2021-10-15 16:18:12+00:00,img
row-101,3,Main Street Train Station,298210453,908308270,2019-08-01 16:30:20+00:00,video
row-92,2,The Tree of Life,848710605,1292332283,2022-05-28 13:18:47+00:00,img
row-93,1,The Tree of Life,848710535,1292332192,2022-05-28 13:18:45+00:00,img
row-93,2,The Tree of Life,848710544,1292332201,2022-05-28 13:18:45+00:00,img
row-93,3,The Tree of Life,848710536,1292332193,2022-05-28 13:18:45+00:00,img
row-94,1,The Tree of Life,848710537,1292332194,2022-05-28 13:18:45+00:00,img
row-94,2,The Tree of Life,848710742,1292332416,2022-05-28 13:18:44+00:00,img
row-94,3,Epcot Entrance,763473071,1201839439,2021-10-17 02:43:07+00:00,img
row-95,1,Epcot Entrance,763473007,1201839384,2021-10-17 02:42:31+00:00,img
row-95,2,Epcot Entrance,763472992,1201829216,2021-10-17 02:42:17+00:00,img
row-96,1,Epcot Entrance,763472989,1201829215,2021-10-17 02:42:15+00:00,img
row-96,2,Epcot Entrance,763472990,1201829214,2021-10-17 02:42:13+00:00,img
row-96,3,Epcot Entrance,763472986,1201829213,2021-10-17 02:42:12+00:00,img
row-97,1,Epcot Entrance,763472984,1201829212,2021-10-17 02:42:10+00:00,img
row-97,2,Epcot Entrance,763106287,1201466711,2021-10-15 22:22:27+00:00,img
row-97,3,Epcot Entrance,763106299,1201466710,2021-10-15 22:22:22+00:00,img
row-97,4,Epcot Entrance,763106293,1201466709,2021-10-15 22:22:18+00:00,img
row-98,1,Epcot Entrance,763106289,1201466708,2021-10-15 22:22:16+00:00,img
row-98,2,Epcot Entrance,763106292,1201499898,2021-10-15 22:22:15+00:00,img
row-98,3,France at Epcot,763090130,1201486667,2021-10-15 21:36:24+00:00,img
row-98,4,France at Epcot,763089969,1201486678,2021-10-15 21:36:01+00:00,img
row-99,1,Test Track,763027334,1201391166,2021-10-15 18:49:22+00:00,img
row-99,2,Epcot,762961670,1201323987,2021-10-15 16:18:39+00:00,img
row-99,3,Epcot,762961664,1201323986,2021-10-15 16:18:37+00:00,img
row-100,1,Epcot,762961637,1201323985,2021-10-15 16:18:35+00:00,img
row-100,2,Epcot,762961633,1201400042,2021-10-15 16:18:23+00:00,img
row-100,3,Epcot,762961635,1201323984,2021-10-15 16:18:15+00:00,img
row-82,1,The Oasis,848910530,1292529485,2022-05-28 18:44:52+00:00,img
row-82,2,The Tree of Life,848736500,1292356449,2022-05-28 13:37:51+00:00,video
row-82,3,The Tree of Life,848710963,1292346982,2022-05-28 13:19:44+00:00,img
row-83,1,The Tree of Life,848710928,1292332526,2022-05-28 13:19:36+00:00,img
row-83,2,The Tree of Life,848710879,1292332507,2022-05-28 13:19:35+00:00,img
row-84,1,The Tree of Life,848710947,1292332541,2022-05-28 13:19:34+00:00,img
row-84,2,The Tree of Life,848710970,1292332568,2022-05-28 13:19:33+00:00,img
row-84,3,The Tree of Life,848710989,1292332590,2022-05-28 13:19:32+00:00,img
row-85,1,The Tree of Life,848710802,1292332471,2022-05-28 13:19:28+00:00,img
row-85,2,The Tree of Life,848710793,1292332464,2022-05-28 13:19:27+00:00,img
row-86,1,The Tree of Life,848710814,1292332484,2022-05-28 13:19:26+00:00,img
row-86,2,The Tree of Life,848710789,1292332458,2022-05-28 13:19:24+00:00,img
row-87,1,The Tree of Life,848710787,1292332456,2022-05-28 13:19:23+00:00,img
row-87,2,The Tree of Life,848710786,1292332455,2022-05-28 13:19:23+00:00,img
row-87,3,The Tree of Life,848710772,1292332438,2022-05-28 13:19:22+00:00,img
row-87,4,The Tree of Life,848710736,1292346985,2022-05-28 13:19:09+00:00,img
row-88,1,The Tree of Life,848710794,1292332465,2022-05-28 13:19:00+00:00,img
row-88,2,The Tree of Life,848710759,1292332428,2022-05-28 13:19:00+00:00,img
row-89,1,The Tree of Life,848710746,1292332418,2022-05-28 13:18:59+00:00,img
