Res_ID,Date,Per Night,Month-Year
1096275,2022-09-23,0.0,09/2022
1096275,2022-09-24,0.0,09/2022
1096275,2022-09-25,0.0,09/2022
1096275,2022-09-26,0.0,09/2022
1096275,2022-09-27,0.0,09/2022
1096275,2022-09-28,0.0,09/2022
1096275,2022-09-29,0.0,09/2022
1096275,2022-09-30,0.0,09/2022
1096275,2022-10-01,0.0,10/2022
1096275,2022-10-02,0.0,10/2022
1096930,2022-10-14,93.71,10/2022
1096930,2022-10-15,93.71,10/2022
1096930,2022-10-16,93.71,10/2022
1096930,2022-10-17,93.71,10/2022
1096930,2022-10-18,93.71,10/2022
1096930,2022-10-19,93.71,10/2022
1097362,2022-10-06,96.39,10/2022
1097362,2022-10-07,96.39,10/2022
1097362,2022-10-08,96.39,10/2022
1097362,2022-10-09,96.39,10/2022
1097362,2022-10-10,96.39,10/2022
1097362,2022-10-11,96.39,10/2022
1097362,2022-10-12,96.39,10/2022
1098288,2023-02-01,93.64,02/2023
1098288,2023-02-02,93.64,02/2023
1098288,2023-02-03,93.64,02/2023
1098288,2023-02-04,93.64,02/2023
1098288,2023-02-05,93.64,02/2023
1098795,2022-10-22,99.96,10/2022
1098795,2022-10-23,99.96,10/2022
1098795,2022-10-24,99.96,10/2022
1098795,2022-10-25,99.96,10/2022
1098795,2022-10-26,99.96,10/2022
1098795,2022-10-27,99.96,10/2022
1098795,2022-10-28,99.96,10/2022
1098795,2022-10-29,99.96,10/2022
1098795,2022-10-30,99.96,10/2022
1099938,2022-12-23,234.78,12/2022
1099938,2022-12-24,234.78,12/2022
1099938,2022-12-25,234.78,12/2022
1099938,2022-12-26,234.78,12/2022
1099938,2022-12-27,234.78,12/2022
1099938,2022-12-28,234.78,12/2022
1099938,2022-12-29,234.78,12/2022
1099938,2022-12-30,234.78,12/2022
1099938,2022-12-31,234.78,12/2022
1099938,2023-01-01,234.78,01/2023
1099938,2023-01-02,234.78,01/2023
1100775,2022-11-23,126.61,11/2022
1100775,2022-11-24,126.61,11/2022
1100775,2022-11-25,126.61,11/2022
1100775,2022-11-26,126.61,11/2022
1102386,2022-11-19,84.3,11/2022
1102386,2022-11-20,84.3,11/2022
1102386,2022-11-21,84.3,11/2022
1102386,2022-11-22,84.3,11/2022
1102386,2022-11-23,84.3,11/2022
1102644,2022-11-06,78.6,11/2022
1102644,2022-11-07,78.6,11/2022
1102644,2022-11-08,78.6,11/2022
1102644,2022-11-09,78.6,11/2022
1102691,2022-12-03,91.7,12/2022
1102691,2022-12-04,91.7,12/2022
1102691,2022-12-05,91.7,12/2022
1102691,2022-12-06,91.7,12/2022
1102691,2022-12-07,91.7,12/2022
1102691,2022-12-08,91.7,12/2022
1102691,2022-12-09,91.7,12/2022
1102691,2022-12-10,91.7,12/2022
29764605,2021-03-22,163.93,03/2021
29764605,2021-03-23,163.93,03/2021
29764605,2021-03-24,163.93,03/2021
29764605,2021-03-25,163.93,03/2021
29764605,2021-03-26,163.93,03/2021
29764605,2021-03-27,163.93,03/2021
29764605,2021-03-28,163.93,03/2021
29725722,2021-03-28,169.1,03/2021
29725722,2021-03-29,169.1,03/2021
29725722,2021-03-30,169.1,03/2021
29725722,2021-03-31,169.1,03/2021
29725722,2021-04-01,169.1,04/2021
29725722,2021-04-02,169.1,04/2021
29725722,2021-04-03,169.1,04/2021
29725722,2021-04-04,169.1,04/2021
30353982,2021-04-04,175.04,04/2021
30353982,2021-04-05,175.04,04/2021
30353982,2021-04-06,175.04,04/2021
30353982,2021-04-07,175.04,04/2021
30353982,2021-04-08,175.04,04/2021
30353982,2021-04-09,175.04,04/2021
30353982,2021-04-10,175.04,04/2021
30573076,2021-04-10,174.33,04/2021
30573076,2021-04-11,174.33,04/2021
30573076,2021-04-12,174.33,04/2021
30573076,2021-04-13,174.33,04/2021
30573076,2021-04-14,174.33,04/2021
30573076,2021-04-15,174.33,04/2021
30573076,2021-04-16,174.33,04/2021
30573076,2021-04-17,174.33,04/2021
30627570,2021-04-17,177.53,04/2021
30627570,2021-04-18,177.53,04/2021
30627570,2021-04-19,177.53,04/2021
30627570,2021-04-20,177.53,04/2021
30627570,2021-04-21,177.53,04/2021
30627570,2021-04-22,177.53,04/2021
30627570,2021-04-23,177.53,04/2021
30627570,2021-04-24,177.53,04/2021
30627570,2021-04-25,177.53,04/2021
30627570,2021-04-26,177.53,04/2021
30627570,2021-04-27,177.53,04/2021
30627570,2021-04-28,177.53,04/2021
30627570,2021-04-29,177.53,04/2021
30627570,2021-04-30,177.53,04/2021
30627570,2021-05-01,177.53,05/2021
30627570,2021-05-02,177.53,05/2021
30627570,2021-05-03,177.53,05/2021
30627570,2021-05-04,177.53,05/2021
30905584,2021-05-06,126.73,05/2021
30905584,2021-05-07,126.73,05/2021
30905584,2021-05-08,126.73,05/2021
30905584,2021-05-09,126.73,05/2021
30905584,2021-05-10,126.73,05/2021
30905584,2021-05-11,126.73,05/2021
30905584,2021-05-12,126.73,05/2021
30905584,2021-05-13,126.73,05/2021
30905584,2021-05-14,126.73,05/2021
30905584,2021-05-15,126.73,05/2021
30905584,2021-05-16,126.73,05/2021
30905584,2021-05-17,126.73,05/2021
30905584,2021-05-18,126.73,05/2021
